"","Routines","numSteps","N","user.time","sd","se","ci"
"1","crunBMLGrid1()",1000,20,0.222500000000014,0.0103998987849237,0.00232548806422068,0.00486730245665331
"2","crunBMLGrid1()",2000,20,0.396399999999994,0.0483815971973535,0.0108184540193296,0.022643284493967
"3","crunBMLGrid1()",3000,20,0.535850000000073,0.133128855269207,0.0297685170148677,0.0623062221761811
"4","crunBMLGrid1()",4000,20,0.636299999999983,0.223315471922584,0.0499348575646345,0.104514858036233
"5","crunBMLGrid1()",5000,20,0.748399999999947,0.310925003650079,0.0695249444065947,0.145517381024403
"6","crunBMLGrid1()",6000,20,0.832749999999987,0.410489806912519,0.0917883112327156,0.19211514332359
"7","crunBMLGrid1()",7000,20,0.923499999999831,0.510856710778604,0.114231033206291,0.239088300260681
"8","crunBMLGrid1()",8000,20,1.01869999999999,0.613314386625619,0.137141266007347,0.287039968605386
"9","crunBMLGrid1()",9000,20,1.13424999999988,0.726014054887974,0.162341677934977,0.339785036950914
"10","crunBMLGrid1()",10000,20,1.31674999999996,0.918260075245225,0.20532919492724,0.429758944055005
"11","crunBMLGrid2()",1000,20,0.653199999999993,0.0399770987072151,0.00893915102525519,0.0187098581218478
"12","crunBMLGrid2()",2000,20,1.15444999999995,0.140965271945757,0.0315207930537457,0.065973778075516
"13","crunBMLGrid2()",3000,20,1.57114999999994,0.402973066228203,0.0901075169187786,0.188597200394007
"14","crunBMLGrid2()",4000,20,1.8664499999999,0.696370173414379,0.155713104525787,0.325911273359067
"15","crunBMLGrid2()",5000,20,2.19115000000011,0.95738746899548,0.214078346148037,0.448071128015789
"16","crunBMLGrid2()",6000,20,2.4688000000001,1.25545569835281,0.280728428425636,0.587571353451097
"17","crunBMLGrid2()",7000,20,2.70219999999995,1.54842020000701,0.346237282494949,0.724682960794892
"18","crunBMLGrid2()",8000,20,3.0442,1.90322058350409,0.425573060089196,0.890734651674841
"19","crunBMLGrid2()",9000,20,3.40735000000004,2.25883801695522,0.505091535607269,1.05716873370405
"20","crunBMLGrid2()",10000,20,4.12525000000001,3.01952718283762,0.675186804073336,1.41318222214456
"21","runBMLGrid()",1000,20,1.06204999999998,0.050351893290083,0.0112590256192441,0.0235654114502773
"22","runBMLGrid()",2000,20,1.87525000000007,0.219313972243048,0.0490400950350957,0.102642098538925
"23","runBMLGrid()",3000,20,2.53055000000008,0.64495960501819,0.144217351956209,0.301850386707414
"24","runBMLGrid()",4000,20,3.01890000000003,1.08927749593847,0.243569852727918,0.509797560688221
"25","runBMLGrid()",5000,20,3.54719999999998,1.5216123235429,0.340242859084333,0.712136488404165
"26","runBMLGrid()",6000,20,4.02604999999999,2.05028866966268,0.458458483886337,0.959564634721668
"27","runBMLGrid()",7000,20,4.35955000000017,2.48462515387403,0.555579074266821,1.16284036656636
"28","runBMLGrid()",8000,20,4.90494999999987,3.04106645897362,0.680003132635958,1.42326291368006
"29","runBMLGrid()",9000,20,5.51610000000019,3.55156207145077,0.794153421807389,1.66218221473353
"30","runBMLGrid()",10000,20,6.5219,4.62861917456584,1.03499071162882,2.16626045552829
